year,Monitores de rendimiento,Dosis variable en sembradoras,Monitores de siembra,Banderillero Satelital en pulverizadoras,Guía Automática,Cortes por sección Pulverizadoras,Cortes por sección Sembradoras,Sistemas de Corrección < a 10cm,Sistemas de Corrección > a 10cm,Telemetría,Control selectivo de Malezas,Sensor manual de N en tiempo real
2010,7400,1801,12160,12298,1150,640,25,50,0,0,0,0
2011,8365,2076,14705,13270,2710,1081,45,110,0,0,0,0
2012,8865,2346,16905,14589,3610,1481,55,200,0,0,0,0
2013,9643,2679,19784,15797,4120,2121,79,210,0,37,0,0
2014,10544,2975,21426,17087,5530,2410,103,360,157,120,21,0
2015,11540,3263,22854,18342,6708,2738,119,823,431,196,64,80
2016,12456,3515,24882,19158,9035,3375,189,2290,1130,409,160,101
2017,13815,3978,27100,20347,12308,4256,263,3566,3184,839,233,104
2018,14767,4138,28811,20647,14430,4309,288,4831,5415,1358,278,116
2019,16140,4608,30800,21018,17174,4351,319,5953,8426,1877,328,120
